Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
83,Derek Bell,31,NYM,NL,1.7,144,622,546,87,145,31,1,18,69,8,4,65,125,0.266,0.348,0.425,0.773,98,0.357,105,232,14,6,2,3,0,*9/81H,,bellde01
84,Albert Belle,33,BAL,AL,0.6,141,622,559,71,157,37,1,23,103,0,5,52,68,0.281,0.342,0.474,0.817,109,0.35,104,265,17,4,0,7,11,*9D,,belleal01
85,Mark Grace*,36,CHC,NL,3.1,143,621,510,75,143,41,1,11,82,1,2,95,28,0.28,0.394,0.429,0.824,111,0.366,111,219,7,6,2,8,11,*3/H,,gracema01
86,Luis Alicea#,34,TEX,AL,1.1,139,619,540,85,159,25,8,6,63,1,3,59,75,0.294,0.365,0.404,0.769,95,0.348,95,218,13,5,7,7,1,*4/5DH6,,alicelu01
87,Carlos Lee,24,CHW,AL,2.5,152,619,572,107,172,29,2,24,92,13,4,38,94,0.301,0.345,0.484,0.829,106,0.369,106,277,17,3,1,5,1,*7/HD,,leeca01
88,Brady Anderson*,36,BAL,AL,1.9,141,618,506,89,130,26,0,19,50,16,9,92,103,0.257,0.375,0.421,0.796,106,0.356,106,213,4,8,5,7,5,*897D/H,,anderbr01
89,Bernie Williams#,31,NYY,AL,5.2,141,616,537,108,165,37,6,30,121,13,5,71,84,0.307,0.391,0.566,0.957,140,0.411,139,304,15,5,0,3,11,*8/DH,ASMVP-13GG,willibe02
90,Deivi Cruz,27,DET,AL,2.7,156,615,583,68,176,46,5,10,82,1,4,13,43,0.302,0.318,0.449,0.767,97,0.334,93,262,25,4,8,7,2,*6/H,,cruzde01
91,Gary Sheffield,31,LAD,NL,6.1,141,612,501,105,163,24,3,43,109,4,6,101,71,0.325,0.438,0.643,1.081,176,0.458,180,322,13,4,0,6,7,*7/D,ASMVP-9,sheffga01
92,Barry Bonds*,35,SFG,NL,7.7,143,607,480,129,147,28,4,49,106,11,3,117,77,0.306,0.44,0.688,1.127,188,0.465,185,330,6,3,0,7,22,*7/H,ASMVP-2SS,bondsba01
93,Richie Sexson,25,2TM,2LG,2.1,148,607,537,89,146,30,1,30,91,2,0,59,159,0.272,0.349,0.499,0.848,112,0.384,118,268,11,7,0,4,2,37D/H,,sexsori01
93,Richie Sexson,25,CLE,AL,0,91,356,324,45,83,16,1,16,44,1,0,25,96,0.256,0.315,0.46,0.774,93,0.355,97,149,8,4,0,3,0,73D/H,,sexsori01
93,Richie Sexson,25,MIL,NL,2.1,57,251,213,44,63,14,0,14,47,1,0,34,63,0.296,0.398,0.559,0.957,142,0.425,150,119,3,3,0,1,2,3,,sexsori01
94,Warren Morris*,26,PIT,NL,0,144,606,528,68,137,31,2,3,43,7,10,65,78,0.259,0.341,0.343,0.684,75,0.313,74,181,7,2,8,3,3,*4H,,morriwa02
95,Tom Goodwin*,31,2TM,NL,1.9,147,606,528,94,139,11,9,6,58,55,10,68,117,0.263,0.346,0.352,0.698,69,0.34,69,186,7,1,5,4,2,*8H7,,goodwto01
95,Tom Goodwin*,31,COL,NL,1.2,91,377,317,65,86,8,8,5,47,39,7,50,76,0.271,0.368,0.394,0.763,76,0.361,72,125,3,1,5,4,2,8/H,,goodwto01
95,Tom Goodwin*,31,LAD,NL,0.7,56,229,211,29,53,3,1,1,11,16,3,18,41,0.251,0.31,0.289,0.599,57,0.307,65,61,4,0,0,0,0,87/H,,goodwto01
96,David Justice*,34,2TM,AL,5.1,146,606,524,89,150,31,1,41,118,2,1,77,91,0.286,0.377,0.584,0.961,139,0.412,138,306,13,1,0,3,3,79D/H8,MVP-13,justida01
96,David Justice*,34,CLE,AL,1.9,68,288,249,46,66,14,1,21,58,1,1,38,49,0.265,0.361,0.582,0.943,133,0.4,129,145,7,0,0,1,2,79D/8H,,justida01
96,David Justice*,34,NYY,AL,3.2,78,318,275,43,84,17,0,20,60,1,0,39,42,0.305,0.391,0.585,0.977,145,0.423,146,161,6,1,0,2,1,79D/H8,,justida01
